"success","failure","stt","reg","eth","inc","age","z.inc","z.incstt","z.trnprv","z.repprv","reg.eth","reg.inc","reg.age","stt.eth","stt.inc","stt.age","eth.inc","eth.age","inc.age","reg.eth.inc","reg.eth.age","reg.inc.age","stt.eth.inc","stt.eth.age","stt.inc.age","eth.inc.age","reg.eth.inc.age","stt.eth.inc.age","year" 
1,2,15,2,4,4,1,0.353510060316673,-0.120167310258066,-0.432578659147381,0.287639496708977,"2-4","2-4","2-1","15-4","15-4","15-1","4-4","4-1","4-1","2-4-4","2-4-1","2-4-1","15-4-4","15-4-1","15-4-1","4-4-1","2-4-4-1","15-4-4-1",1
1,0,16,2,4,4,1,0.353510060316673,-0.117160224977419,0.460866394512978,-0.0934848845225878,"2-4","2-4","2-1","16-4","16-4","16-1","4-4","4-1","4-1","2-4-4","2-4-1","2-4-1","16-4-4","16-4-1","16-4-1","4-4-1","2-4-4-1","16-4-4-1",1
1,0,17,2,4,4,1,0.353510060316673,-0.0644976801907036,0.0720782418688374,0.422427387632335,"2-4","2-4","2-1","17-4","17-4","17-1","4-4","4-1","4-1","2-4-4","2-4-1","2-4-1","17-4-4","17-4-1","17-4-1","4-4-1","2-4-4-1","17-4-4-1",1
1,0,20,1,4,4,1,0.353510060316673,-0.398361251093308,0.971447488089594,-0.21432920052284,"1-4","1-4","1-1","20-4","20-4","20-1","4-4","4-1","4-1","1-4-4","1-4-1","1-4-1","20-4-4","20-4-1","20-4-1","4-4-1","1-4-4-1","20-4-4-1",1
0,2,21,1,4,4,1,0.353510060316673,0.940794060554828,-0.0534956673508133,-0.479257124061854,"1-4","1-4","1-1","21-4","21-4","21-1","4-4","4-1","4-1","1-4-4","1-4-1","1-4-1","21-4-4","21-4-1","21-4-1","4-4-1","1-4-4-1","21-4-4-1",1
2,1,22,1,4,4,1,0.353510060316673,0.600839214340144,0.386210785331797,-0.772072197447081,"1-4","1-4","1-1","22-4","22-4","22-1","4-4","4-1","4-1","1-4-4","1-4-1","1-4-1","22-4-4","22-4-1","22-4-1","4-4-1","1-4-4-1","22-4-4-1",1
3,3,23,2,4,4,1,0.353510060316673,-0.00659201235055217,0.319733523354761,-0.205033483907436,"2-4","2-4","2-1","23-4","23-4","23-1","4-4","4-1","4-1","2-4-4","2-4-1","2-4-1","23-4-4","23-4-1","23-4-1","4-4-1","2-4-4-1","23-4-4-1",1
3,0,24,2,4,4,1,0.353510060316673,0.875332127137666,1.10511498416995,-0.14461132590731,"2-4","2-4","2-1","24-4","24-4","24-1","4-4","4-1","4-1","2-4-4","2-4-1","2-4-1","24-4-4","24-4-1","24-4-1","4-4-1","2-4-4-1","24-4-4-1",1
3,1,29,4,4,4,1,0.353510060316673,0.186786702620286,-0.711929240106444,0.00412013993915445,"4-4","4-4","4-1","29-4","29-4","29-1","4-4","4-1","4-1","4-4-4","4-4-1","4-4-1","29-4-4","29-4-1","29-4-1","4-4-1","4-4-4-1","29-4-4-1",1
0,1,30,1,4,4,1,0.353510060316673,0.986208758767677,0.587655604260527,-0.0516541597532697,"1-4","1-4","1-1","30-4","30-4","30-1","4-4","4-1","4-1","1-4-4","1-4-1","1-4-1","30-4-4","30-4-1","30-4-1","4-4-1","1-4-4-1","30-4-4-1",1
4,0,31,1,4,4,1,0.353510060316673,0.941488003311901,0.0796186679149393,-0.465313549138748,"1-4","1-4","1-1","31-4","31-4","31-1","4-4","4-1","4-1","1-4-4","1-4-1","1-4-1","31-4-4","31-4-1","31-4-1","4-4-1","1-4-4-1","31-4-4-1",1
2,2,32,4,4,4,1,0.353510060316673,-0.537766640514072,-0.522261851005287,-0.0841891679071838,"4-4","4-4","4-1","32-4","32-4","32-1","4-4","4-1","4-1","4-4-4","4-4-1","4-4-1","32-4-4","32-4-1","32-4-1","4-4-1","4-4-4-1","32-4-4-1",1
4,0,33,1,4,4,1,0.353510060316673,-0.0257139905454357,-0.0598107206525984,-0.693058606216147,"1-4","1-4","1-1","33-4","33-4","33-1","4-4","4-1","4-1","1-4-4","1-4-1","1-4-1","33-4-4","33-4-1","33-4-1","4-4-1","1-4-4-1","33-4-4-1",1
1,1,34,3,4,4,1,0.353510060316673,-0.428817627653707,-0.424444261743481,0.217921622093446,"3-4","3-4","3-1","34-4","34-4","34-1","4-4","4-1","4-1","3-4-4","3-4-1","3-4-1","34-4-4","34-4-1","34-4-1","4-4-1","3-4-4-1","34-4-4-1",1
1,1,37,3,4,4,1,0.353510060316673,-0.484255943468712,-0.455154531361404,0.431723104247739,"3-4","3-4","3-1","37-4","37-4","37-1","4-4","4-1","4-1","3-4-4","3-4-1","3-4-1","37-4-4","37-4-1","37-4-1","4-4-1","3-4-4-1","37-4-4-1",1
0,3,38,4,4,4,1,0.353510060316673,-0.149929744061393,0.620650088626029,-0.0934848845225878,"4-4","4-4","4-1","38-4","38-4","38-1","4-4","4-1","4-1","4-4-4","4-4-1","4-4-1","38-4-4","38-4-1","38-4-1","4-4-1","4-4-4-1","38-4-4-1",1
0,3,39,1,4,4,1,0.353510060316673,-0.0212419149998581,-0.133214092603339,-0.181794192368926,"1-4","1-4","1-1","39-4","39-4","39-1","4-4","4-1","4-1","1-4-4","1-4-1","1-4-1","39-4-4","39-4-1","39-4-1","4-4-1","1-4-4-1","39-4-4-1",1
0,1,42,2,4,4,1,0.353510060316673,-0.311772615960831,0.218151801020186,0.454962395786249,"2-4","2-4","2-1","42-4","42-4","42-1","4-4","4-1","4-1","2-4-4","2-4-1","2-4-1","42-4-4","42-4-1","42-4-1","4-4-1","2-4-4-1","42-4-4-1",1
4,1,44,3,4,4,1,0.353510060316673,-0.253404319615965,-0.565597466237544,0.427075245940037,"3-4","3-4","3-1","44-4","44-4","44-1","4-4","4-1","4-1","3-4-4","3-4-1","3-4-1","44-4-4","44-4-1","44-4-1","4-4-1","3-4-4-1","44-4-4-1",1
2,0,47,3,4,4,1,0.353510060316673,0.671852689813885,-0.0960365600412325,0.106373022708599,"3-4","3-4","3-1","47-4","47-4","47-1","4-4","4-1","4-1","3-4-4","3-4-1","3-4-1","47-4-4","47-4-1","47-4-1","4-4-1","3-4-4-1","47-4-4-1",1
7,8,48,4,4,4,1,0.353510060316673,0.318173197959325,0.423353000017068,-0.218977058830542,"4-4","4-4","4-1","48-4","48-4","48-1","4-4","4-1","4-1","4-4-4","4-4-1","4-4-1","48-4-4","48-4-1","48-4-1","4-4-1","4-4-4-1","48-4-4-1",1
1,1,50,2,4,4,1,0.353510060316673,0.20498342380574,0.874171079362693,-0.0888370262148858,"2-4","2-4","2-1","50-4","50-4","50-1","4-4","4-1","4-1","2-4-4","2-4-1","2-4-1","50-4-4","50-4-1","50-4-1","4-4-1","2-4-4-1","50-4-4-1",1
0,1,51,4,4,4,1,0.353510060316673,-0.0709744792567125,0.389265696359741,0.891861076710237,"4-4","4-4","4-1","51-4","51-4","51-1","4-4","4-1","4-1","4-4-4","4-4-1","4-4-1","51-4-4","51-4-1","51-4-1","4-4-1","4-4-4-1","51-4-4-1",1
2,1,1,3,1,5,1,0.707020120633347,-0.497363751102302,-0.33946051248346,0.269048063478169,"3-1","3-5","3-1","1-1","1-5","1-1","1-5","1-1","5-1","3-1-5","3-1-1","3-5-1","1-1-5","1-1-1","1-5-1","1-5-1","3-1-5-1","1-1-5-1",1
6,0,2,4,1,5,1,0.707020120633347,0.776098312876315,0.946725274456649,0.747777469171476,"4-1","4-5","4-1","2-1","2-5","2-1","1-5","1-1","5-1","4-1-5","4-1-1","4-5-1","2-1-5","2-1-1","2-5-1","1-5-1","4-1-5-1","2-1-5-1",1
5,2,3,4,1,5,1,0.707020120633347,-0.15201157233261,-0.79296060752049,0.0691901562469826,"4-1","4-5","4-1","3-1","3-5","3-1","1-5","1-1","5-1","4-1-5","4-1-1","4-5-1","3-1-5","3-1-1","3-5-1","1-5-1","4-1-5-1","3-1-5-1",1
1,0,4,3,1,5,1,0.707020120633347,-0.818350828623674,-0.64643392786623,0.0459508647084725,"3-1","3-5","3-1","4-1","4-5","4-1","1-5","1-1","5-1","3-1-5","3-1-1","3-5-1","4-1-5","4-1-1","4-5-1","1-5-1","3-1-5-1","4-1-5-1",1
25,9,5,4,1,5,1,0.707020120633347,0.411161527407025,-0.0502589525534914,-0.372356382984708,"4-1","4-5","4-1","5-1","5-5","5-1","1-5","1-1","5-1","4-1-5","4-1-1","4-5-1","5-1-5","5-1-1","5-5-1","1-5-1","4-1-5-1","5-1-5-1",1
6,3,6,4,1,5,1,0.707020120633347,0.498135686293431,0.215129403800177,0.124964455939407,"4-1","4-5","4-1","6-1","6-5","6-1","1-5","1-1","5-1","4-1-5","4-1-1","4-5-1","6-1-5","6-1-1","6-5-1","1-5-1","4-1-5-1","6-1-5-1",1
5,14,7,1,1,5,1,0.707020120633347,0.879649993181672,0.407698227716582,-0.51643999052347,"1-1","1-5","1-1","7-1","7-5","7-1","1-5","1-1","5-1","1-1-5","1-1-1","1-5-1","7-1-5","7-1-1","7-5-1","1-5-1","1-1-5-1","7-1-5-1",1
7,2,8,1,1,5,1,0.707020120633347,0.431054553109767,0.186365167967383,-0.395595674523218,"1-1","1-5","1-1","8-1","8-5","8-1","1-5","1-1","5-1","1-1-5","1-1-1","1-5-1","8-1-5","8-1-1","8-5-1","1-5-1","1-1-5-1","8-1-5-1",1
5,2,9,5,1,5,1,0.707020120633347,-0.0762176023101484,-0.47820690122873,-1.9665717825265,"5-1","5-5","5-1","9-1","9-5","9-1","1-5","1-1","5-1","5-1-5","5-1-1","5-5-1","9-1-5","9-1-1","9-5-1","1-5-1","5-1-5-1","9-1-5-1",1
6,9,10,3,1,5,1,0.707020120633347,-0.338527964483511,-0.130072058219318,-0.0841891679071838,"3-1","3-5","3-1","10-1","10-5","10-1","1-5","1-1","5-1","3-1-5","3-1-1","3-5-1","10-1-5","10-1-1","10-5-1","1-5-1","3-1-5-1","10-1-5-1",1
2,3,11,3,1,5,1,0.707020120633347,-0.103666893589901,-0.753299110124867,0.194682330554937,"3-1","3-5","3-1","11-1","11-5","11-1","1-5","1-1","5-1","3-1-5","3-1-1","3-5-1","11-1-5","11-1-1","11-5-1","1-5-1","3-1-5-1","11-1-5-1",1
4,0,13,4,1,5,1,0.707020120633347,-0.157486009638404,0.0655711660805155,0.882565360094833,"4-1","4-5","4-1","13-1","13-5","13-1","1-5","1-1","5-1","4-1-5","4-1-1","4-5-1","13-1-5","13-1-1","13-5-1","1-5-1","4-1-5-1","13-1-5-1",1
15,15,14,2,1,5,1,0.707020120633347,0.0944923159296589,0.0915204941225437,-0.372356382984708,"2-1","2-5","2-1","14-1","14-5","14-1","1-5","1-1","5-1","2-1-5","2-1-1","2-5-1","14-1-5","14-1-1","14-5-1","1-5-1","2-1-5-1","14-1-5-1",1
4,3,15,2,1,5,1,0.707020120633347,-0.120167310258066,-0.432578659147381,0.287639496708977,"2-1","2-5","2-1","15-1","15-5","15-1","1-5","1-1","5-1","2-1-5","2-1-1","2-5-1","15-1-5","15-1-1","15-5-1","1-5-1","2-1-5-1","15-1-5-1",1
3,2,16,2,1,5,1,0.707020120633347,-0.117160224977419,0.460866394512978,-0.0934848845225878,"2-1","2-5","2-1","16-1","16-5","16-1","1-5","1-1","5-1","2-1-5","2-1-1","2-5-1","16-1-5","16-1-1","16-5-1","1-5-1","2-1-5-1","16-1-5-1",1
13,4,17,2,1,5,1,0.707020120633347,-0.0644976801907036,0.0720782418688374,0.422427387632335,"2-1","2-5","2-1","17-1","17-5","17-1","1-5","1-1","5-1","2-1-5","2-1-1","2-5-1","17-1-5","17-1-1","17-5-1","1-5-1","2-1-5-1","17-1-5-1",1
1,3,18,3,1,5,1,0.707020120633347,-0.552493647914164,-0.311087267829617,0.273695921785871,"3-1","3-5","3-1","18-1","18-5","18-1","1-5","1-1","5-1","3-1-5","3-1-1","3-5-1","18-1-5","18-1-1","18-5-1","1-5-1","3-1-5-1","18-1-5-1",1
1,0,19,3,1,5,1,0.707020120633347,-0.696910846136006,-0.0189848343196331,0.0970773060931946,"3-1","3-5","3-1","19-1","19-5","19-1","1-5","1-1","5-1","3-1-5","3-1-1","3-5-1","19-1-5","19-1-1","19-5-1","1-5-1","3-1-5-1","19-1-5-1",1
7,2,20,1,1,5,1,0.707020120633347,-0.398361251093308,0.971447488089594,-0.21432920052284,"1-1","1-5","1-1","20-1","20-5","20-1","1-5","1-1","5-1","1-1-5","1-1-1","1-5-1","20-1-5","20-1-1","20-5-1","1-5-1","1-1-5-1","20-1-5-1",1
12,3,21,1,1,5,1,0.707020120633347,0.940794060554828,-0.0534956673508133,-0.479257124061854,"1-1","1-5","1-1","21-1","21-5","21-1","1-5","1-1","5-1","1-1-5","1-1-1","1-5-1","21-1-5","21-1-1","21-5-1","1-5-1","1-1-5-1","21-1-5-1",1
14,4,22,1,1,5,1,0.707020120633347,0.600839214340144,0.386210785331797,-0.772072197447081,"1-1","1-5","1-1","22-1","22-5","22-1","1-5","1-1","5-1","1-1-5","1-1-1","1-5-1","22-1-5","22-1-1","22-5-1","1-5-1","1-1-5-1","22-1-5-1",1
13,4,23,2,1,5,1,0.707020120633347,-0.00659201235055217,0.319733523354761,-0.205033483907436,"2-1","2-5","2-1","23-1","23-5","23-1","1-5","1-1","5-1","2-1-5","2-1-1","2-5-1","23-1-5","23-1-1","23-5-1","1-5-1","2-1-5-1","23-1-5-1",1
14,5,24,2,1,5,1,0.707020120633347,0.875332127137666,1.10511498416995,-0.14461132590731,"2-1","2-5","2-1","24-1","24-5","24-1","1-5","1-1","5-1","2-1-5","2-1-1","2-5-1","24-1-5","24-1-1","24-5-1","1-5-1","2-1-5-1","24-1-5-1",1
0,1,25,3,1,5,1,0.707020120633347,-0.840634101600776,-0.533911393678296,0.315526646555189,"3-1","3-5","3-1","25-1","25-5","25-1","1-5","1-1","5-1","3-1-5","3-1-1","3-5-1","25-1-5","25-1-1","25-5-1","1-5-1","3-1-5-1","25-1-5-1",1
6,1,26,2,1,5,1,0.707020120633347,-0.0442191307340327,0.16681714106847,-0.00517557667624957,"2-1","2-5","2-1","26-1","26-5","26-1","1-5","1-1","5-1","2-1-5","2-1-1","2-5-1","26-1-5","26-1-1","26-5-1","1-5-1","2-1-5-1","26-1-5-1",1
0,1,27,4,1,5,1,0.707020120633347,-0.72173857588904,0.505271589785896,0.552567420247991,"4-1","4-5","4-1","27-1","27-5","27-1","1-5","1-1","5-1","4-1-5","4-1-1","4-5-1","27-1-5","27-1-1","27-5-1","1-5-1","4-1-5-1","27-1-5-1",1
3,0,28,2,1,5,1,0.707020120633347,0.00474238601496349,0.142776989448387,0.622285294863521,"2-1","2-5","2-1","28-1","28-5","28-1","1-5","1-1","5-1","2-1-5","2-1-1","2-5-1","28-1-5","28-1-1","28-5-1","1-5-1","2-1-5-1","28-1-5-1",1
7,0,29,4,1,5,1,0.707020120633347,0.186786702620286,-0.711929240106444,0.00412013993915445,"4-1","4-5","4-1","29-1","29-5","29-1","1-5","1-1","5-1","4-1-5","4-1-1","4-5-1","29-1-5","29-1-1","29-5-1","1-5-1","4-1-5-1","29-1-5-1",1
5,2,30,1,1,5,1,0.707020120633347,0.986208758767677,0.587655604260527,-0.0516541597532697,"1-1","1-5","1-1","30-1","30-5","30-1","1-5","1-1","5-1","1-1-5","1-1-1","1-5-1","30-1-5","30-1-1","30-5-1","1-5-1","1-1-5-1","30-1-5-1",1
11,7,31,1,1,5,1,0.707020120633347,0.941488003311901,0.0796186679149393,-0.465313549138748,"1-1","1-5","1-1","31-1","31-5","31-1","1-5","1-1","5-1","1-1-5","1-1-1","1-5-1","31-1-5","31-1-1","31-5-1","1-5-1","1-1-5-1","31-1-5-1",1
0,1,32,4,1,5,1,0.707020120633347,-0.537766640514072,-0.522261851005287,-0.0841891679071838,"4-1","4-5","4-1","32-1","32-5","32-1","1-5","1-1","5-1","4-1-5","4-1-1","4-5-1","32-1-5","32-1-1","32-5-1","1-5-1","4-1-5-1","32-1-5-1",1
31,6,33,1,1,5,1,0.707020120633347,-0.0257139905454357,-0.0598107206525984,-0.693058606216147,"1-1","1-5","1-1","33-1","33-5","33-1","1-5","1-1","5-1","1-1-5","1-1-1","1-5-1","33-1-5","33-1-1","33-5-1","1-5-1","1-1-5-1","33-1-5-1",1
5,8,34,3,1,5,1,0.707020120633347,-0.428817627653707,-0.424444261743481,0.217921622093446,"3-1","3-5","3-1","34-1","34-5","34-1","1-5","1-1","5-1","3-1-5","3-1-1","3-5-1","34-1-5","34-1-1","34-5-1","1-5-1","3-1-5-1","34-1-5-1",1
2,0,35,2,1,5,1,0.707020120633347,-0.383017405686929,0.390750898916703,0.599046003325011,"2-1","2-5","2-1","35-1","35-5","35-1","1-5","1-1","5-1","2-1-5","2-1-1","2-5-1","35-1-5","35-1-1","35-5-1","1-5-1","2-1-5-1","35-1-5-1",1
11,0,36,2,1,5,1,0.707020120633347,-0.0309571135988715,0.0876812402251879,-0.000527718368547564,"2-1","2-5","2-1","36-1","36-5","36-1","1-5","1-1","5-1","2-1-5","2-1-1","2-5-1","36-1-5","36-1-1","36-5-1","1-5-1","2-1-5-1","36-1-5-1",1
4,2,37,3,1,5,1,0.707020120633347,-0.484255943468712,-0.455154531361404,0.431723104247739,"3-1","3-5","3-1","37-1","37-5","37-1","1-5","1-1","5-1","3-1-5","3-1-1","3-5-1","37-1-5","37-1-1","37-5-1","1-5-1","3-1-5-1","37-1-5-1",1
2,1,38,4,1,5,1,0.707020120633347,-0.149929744061393,0.620650088626029,-0.0934848845225878,"4-1","4-5","4-1","38-1","38-5","38-1","1-5","1-1","5-1","4-1-5","4-1-1","4-5-1","38-1-5","38-1-1","38-5-1","1-5-1","4-1-5-1","38-1-5-1",1
13,5,39,1,1,5,1,0.707020120633347,-0.0212419149998581,-0.133214092603339,-0.181794192368926,"1-1","1-5","1-1","39-1","39-5","39-1","1-5","1-1","5-1","1-1-5","1-1-1","1-5-1","39-1-5","39-1-1","39-5-1","1-5-1","1-1-5-1","39-1-5-1",1
9,5,40,1,1,5,1,0.707020120633347,0.126259473253417,-0.0482188941268638,-0.813902922216399,"1-1","1-5","1-1","40-1","40-5","40-1","1-5","1-1","5-1","1-1-5","1-1-1","1-5-1","40-1-5","40-1-1","40-5-1","1-5-1","1-1-5-1","40-1-5-1",1
4,1,41,3,1,5,1,0.707020120633347,-0.403681478897529,-0.654604608079597,0.292287355016679,"3-1","3-5","3-1","41-1","41-5","41-1","1-5","1-1","5-1","3-1-5","3-1-1","3-5-1","41-1-5","41-1-1","41-5-1","1-5-1","3-1-5-1","41-1-5-1",1
5,0,42,2,1,5,1,0.707020120633347,-0.311772615960831,0.218151801020186,0.454962395786249,"2-1","2-5","2-1","42-1","42-5","42-1","1-5","1-1","5-1","2-1-5","2-1-1","2-5-1","42-1-5","42-1-1","42-5-1","1-5-1","2-1-5-1","42-1-5-1",1
7,3,43,3,1,5,1,0.707020120633347,-0.463514765507326,-0.468536499365598,0.00876799824685646,"3-1","3-5","3-1","43-1","43-5","43-1","1-5","1-1","5-1","3-1-5","3-1-1","3-5-1","43-1-5","43-1-1","43-5-1","1-5-1","3-1-5-1","43-1-5-1",1
13,2,44,3,1,5,1,0.707020120633347,-0.253404319615965,-0.565597466237544,0.427075245940037,"3-1","3-5","3-1","44-1","44-5","44-1","1-5","1-1","5-1","3-1-5","3-1-1","3-5-1","44-1-5","44-1-1","44-5-1","1-5-1","3-1-5-1","44-1-5-1",1
6,0,45,4,1,5,1,0.707020120633347,0.466676947972816,-0.106779060742819,0.924396084864151,"4-1","4-5","4-1","45-1","45-5","45-1","1-5","1-1","5-1","4-1-5","4-1-1","4-5-1","45-1-5","45-1-1","45-5-1","1-5-1","4-1-5-1","45-1-5-1",1
2,2,46,1,1,5,1,0.707020120633347,0.0871673646050059,0.753114443540665,-0.335173516523092,"1-1","1-5","1-1","46-1","46-5","46-1","1-5","1-1","5-1","1-1-5","1-1-1","1-5-1","46-1-5","46-1-1","46-5-1","1-5-1","1-1-5-1","46-1-5-1",1
9,8,47,3,1,5,1,0.707020120633347,0.671852689813885,-0.0960365600412325,0.106373022708599,"3-1","3-5","3-1","47-1","47-5","47-1","1-5","1-1","5-1","3-1-5","3-1-1","3-5-1","47-1-5","47-1-1","47-5-1","1-5-1","3-1-5-1","47-1-5-1",1
5,0,48,4,1,5,1,0.707020120633347,0.318173197959325,0.423353000017068,-0.218977058830542,"4-1","4-5","4-1","48-1","48-5","48-1","1-5","1-1","5-1","4-1-5","4-1-1","4-5-1","48-1-5","48-1-1","48-5-1","1-5-1","4-1-5-1","48-1-5-1",1
0,1,49,1,1,5,1,0.707020120633347,-0.923136184941604,-0.698717387787173,0.0645422979392806,"1-1","1-5","1-1","49-1","49-5","49-1","1-5","1-1","5-1","1-1-5","1-1-1","1-5-1","49-1-5","49-1-1","49-5-1","1-5-1","1-1-5-1","49-1-5-1",1
8,5,50,2,1,5,1,0.707020120633347,0.20498342380574,0.874171079362693,-0.0888370262148858,"2-1","2-5","2-1","50-1","50-5","50-1","1-5","1-1","5-1","2-1-5","2-1-1","2-5-1","50-1-5","50-1-1","50-5-1","1-5-1","2-1-5-1","50-1-5-1",1
3,0,51,4,1,5,1,0.707020120633347,-0.0709744792567125,0.389265696359741,0.891861076710237,"4-1","4-5","4-1","51-1","51-5","51-1","1-5","1-1","5-1","4-1-5","4-1-1","4-5-1","51-1-5","51-1-1","51-5-1","1-5-1","4-1-5-1","51-1-5-1",1
5,1,5,4,2,5,1,0.707020120633347,0.411161527407025,-0.0502589525534914,-0.372356382984708,"4-2","4-5","4-1","5-2","5-5","5-1","2-5","2-1","5-1","4-2-5","4-2-1","4-5-1","5-2-5","5-2-1","5-5-1","2-5-1","4-2-5-1","5-2-5-1",1
2,0,8,1,2,5,1,0.707020120633347,0.431054553109767,0.186365167967383,-0.395595674523218,"1-2","1-5","1-1","8-2","8-5","8-1","2-5","2-1","5-1","1-2-5","1-2-1","1-5-1","8-2-5","8-2-1","8-5-1","2-5-1","1-2-5-1","8-2-5-1",1
4,1,9,5,2,5,1,0.707020120633347,-0.0762176023101484,-0.47820690122873,-1.9665717825265,"5-2","5-5","5-1","9-2","9-5","9-1","2-5","2-1","5-1","5-2-5","5-2-1","5-5-1","9-2-5","9-2-1","9-5-1","2-5-1","5-2-5-1","9-2-5-1",1
2,0,11,3,2,5,1,0.707020120633347,-0.103666893589901,-0.753299110124867,0.194682330554937,"3-2","3-5","3-1","11-2","11-5","11-1","2-5","2-1","5-1","3-2-5","3-2-1","3-5-1","11-2-5","11-2-1","11-5-1","2-5-1","3-2-5-1","11-2-5-1",1
0,1,21,1,2,5,1,0.707020120633347,0.940794060554828,-0.0534956673508133,-0.479257124061854,"1-2","1-5","1-1","21-2","21-5","21-1","2-5","2-1","5-1","1-2-5","1-2-1","1-5-1","21-2-5","21-2-1","21-5-1","2-5-1","1-2-5-1","21-2-5-1",1
1,0,22,1,2,5,1,0.707020120633347,0.600839214340144,0.386210785331797,-0.772072197447081,"1-2","1-5","1-1","22-2","22-5","22-1","2-5","2-1","5-1","1-2-5","1-2-1","1-5-1","22-2-5","22-2-1","22-5-1","2-5-1","1-2-5-1","22-2-5-1",1
1,0,23,2,2,5,1,0.707020120633347,-0.00659201235055217,0.319733523354761,-0.205033483907436,"2-2","2-5","2-1","23-2","23-5","23-1","2-5","2-1","5-1","2-2-5","2-2-1","2-5-1","23-2-5","23-2-1","23-5-1","2-5-1","2-2-5-1","23-2-5-1",1
1,0,26,2,2,5,1,0.707020120633347,-0.0442191307340327,0.16681714106847,-0.00517557667624957,"2-2","2-5","2-1","26-2","26-5","26-1","2-5","2-1","5-1","2-2-5","2-2-1","2-5-1","26-2-5","26-2-1","26-5-1","2-5-1","2-2-5-1","26-2-5-1",1
2,0,28,2,2,5,1,0.707020120633347,0.00474238601496349,0.142776989448387,0.622285294863521,"2-2","2-5","2-1","28-2","28-5","28-1","2-5","2-1","5-1","2-2-5","2-2-1","2-5-1","28-2-5","28-2-1","28-5-1","2-5-1","2-2-5-1","28-2-5-1",1
1,1,29,4,2,5,1,0.707020120633347,0.186786702620286,-0.711929240106444,0.00412013993915445,"4-2","4-5","4-1","29-2","29-5","29-1","2-5","2-1","5-1","4-2-5","4-2-1","4-5-1","29-2-5","29-2-1","29-5-1","2-5-1","4-2-5-1","29-2-5-1",1
1,1,33,1,2,5,1,0.707020120633347,-0.0257139905454357,-0.0598107206525984,-0.693058606216147,"1-2","1-5","1-1","33-2","33-5","33-1","2-5","2-1","5-1","1-2-5","1-2-1","1-5-1","33-2-5","33-2-1","33-5-1","2-5-1","1-2-5-1","33-2-5-1",1
1,0,34,3,2,5,1,0.707020120633347,-0.428817627653707,-0.424444261743481,0.217921622093446,"3-2","3-5","3-1","34-2","34-5","34-1","2-5","2-1","5-1","3-2-5","3-2-1","3-5-1","34-2-5","34-2-1","34-5-1","2-5-1","3-2-5-1","34-2-5-1",1
0,1,48,4,2,5,1,0.707020120633347,0.318173197959325,0.423353000017068,-0.218977058830542,"4-2","4-5","4-1","48-2","48-5","48-1","2-5","2-1","5-1","4-2-5","4-2-1","4-5-1","48-2-5","48-2-1","48-5-1","2-5-1","4-2-5-1","48-2-5-1",1
0,1,3,4,3,5,1,0.707020120633347,-0.15201157233261,-0.79296060752049,0.0691901562469826,"4-3","4-5","4-1","3-3","3-5","3-1","3-5","3-1","5-1","4-3-5","4-3-1","4-5-1","3-3-5","3-3-1","3-5-1","3-5-1","4-3-5-1","3-3-5-1",1
3,3,5,4,3,5,1,0.707020120633347,0.411161527407025,-0.0502589525534914,-0.372356382984708,"4-3","4-5","4-1","5-3","5-5","5-1","3-5","3-1","5-1","4-3-5","4-3-1","4-5-1","5-3-5","5-3-1","5-5-1","3-5-1","4-3-5-1","5-3-5-1",1
1,0,6,4,3,5,1,0.707020120633347,0.498135686293431,0.215129403800177,0.124964455939407,"4-3","4-5","4-1","6-3","6-5","6-1","3-5","3-1","5-1","4-3-5","4-3-1","4-5-1","6-3-5","6-3-1","6-5-1","3-5-1","4-3-5-1","6-3-5-1",1
1,0,7,1,3,5,1,0.707020120633347,0.879649993181672,0.407698227716582,-0.51643999052347,"1-3","1-5","1-1","7-3","7-5","7-1","3-5","3-1","5-1","1-3-5","1-3-1","1-5-1","7-3-5","7-3-1","7-5-1","3-5-1","1-3-5-1","7-3-5-1",1
0,1,11,3,3,5,1,0.707020120633347,-0.103666893589901,-0.753299110124867,0.194682330554937,"3-3","3-5","3-1","11-3","11-5","11-1","3-5","3-1","5-1","3-3-5","3-3-1","3-5-1","11-3-5","11-3-1","11-5-1","3-5-1","3-3-5-1","11-3-5-1",1
0,1,21,1,3,5,1,0.707020120633347,0.940794060554828,-0.0534956673508133,-0.479257124061854,"1-3","1-5","1-1","21-3","21-5","21-1","3-5","3-1","5-1","1-3-5","1-3-1","1-5-1","21-3-5","21-3-1","21-5-1","3-5-1","1-3-5-1","21-3-5-1",1
1,0,23,2,3,5,1,0.707020120633347,-0.00659201235055217,0.319733523354761,-0.205033483907436,"2-3","2-5","2-1","23-3","23-5","23-1","3-5","3-1","5-1","2-3-5","2-3-1","2-5-1","23-3-5","23-3-1","23-5-1","3-5-1","2-3-5-1","23-3-5-1",1
1,0,33,1,3,5,1,0.707020120633347,-0.0257139905454357,-0.0598107206525984,-0.693058606216147,"1-3","1-5","1-1","33-3","33-5","33-1","3-5","3-1","5-1","1-3-5","1-3-1","1-5-1","33-3-5","33-3-1","33-5-1","3-5-1","1-3-5-1","33-3-5-1",1
0,1,43,3,3,5,1,0.707020120633347,-0.463514765507326,-0.468536499365598,0.00876799824685646,"3-3","3-5","3-1","43-3","43-5","43-1","3-5","3-1","5-1","3-3-5","3-3-1","3-5-1","43-3-5","43-3-1","43-5-1","3-5-1","3-3-5-1","43-3-5-1",1
